Rank,Handle,Points,Penalty,Points (Buzz Lightyear),Penalty,Tries,Points (A Simple Game),Penalty,Tries,Points (Chocolate Rounds),Penalty,Tries,Points (Eloa’s Secret),Penalty,Tries,Points (Uncle M),Penalty,Tries,Points (Fun With Fraction),Penalty,Tries,Points (Cache Cash),Penalty,Tries,Points (Weapon Supplier),Penalty,Tries,Points (Beautiful String),Penalty,Tries,Points (Hyperloop),Penalty,Tries,Points (Match the Color),Penalty,Tries,Points (Office Para),Penalty,Tries
58,subiupc2017.69,300,664,,,,0,0,0,100,372,6,,,,100,281,1,,,,,,,,,,0,0,0,,,,100,11,1,,,
59,subiupc2017.39,300,738,,,,,,,100,447,9,,,,100,276,1,,,,,,,,,,,,,,,,100,15,1,,,
60,subiupc2017.21,200,62,,,,0,0,0,100,36,1,,,,0,0,0,,,,,,,,,,,,,0,0,0,100,26,1,,,
61,subiupc2017.87,200,73,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,100,44,1,100,29,1,,,
62,subiupc2017.86,200,113,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,,,,,,,100,99,1,100,14,1,,,
63,subiupc2017.1,200,120,,,,0,0,0,100,106,2,,,,0,0,0,,,,,,,,,,,,,0,0,0,100,14,1,,,
64,subiupc2017.6,200,126,,,,0,0,0,0,0,0,,,,,,,,,,0,0,0,,,,0,0,0,100,120,1,100,6,1,,,
65,subiupc2017.67,200,157,,,,,,,0,0,0,,,,,,,,,,,,,,,,0,0,0,100,107,1,100,50,2,,,
66,subiupc2017.25,200,177,,,,0,0,0,100,115,3,,,,0,0,0,,,,,,,,,,,,,,,,100,62,2,,,
67,subiupc2017.3,200,185,,,,,,,100,118,3,,,,,,,0,0,0,0,0,0,,,,0,0,0,,,,100,67,3,,,
68,subiupc2017.4,200,188,,,,,,,100,147,2,,,,0,0,0,,,,,,,,,,,,,0,0,0,100,41,1,,,
69,subiupc2017.51,200,191,,,,0,0,0,100,131,3,,,,,,,,,,,,,,,,,,,0,0,0,100,60,2,,,
70,subiupc2017.45,200,193,,,,,,,100,183,6,,,,0,0,0,,,,,,,,,,,,,0,0,0,100,10,1,,,
71,subiupc2017.26,200,201,,,,0,0,0,100,178,4,,,,0,0,0,,,,,,,,,,,,,,,,100,23,1,,,
72,subiupc2017.56,200,232,,,,0,0,0,100,201,3,,,,,,,,,,,,,,,,,,,0,0,0,100,31,1,,,
73,subiupc2017.90,200,262,,,,,,,100,240,5,,,,,,,0,0,0,,,,,,,,,,,,,100,22,1,,,
73,subiupc2017.73,200,262,,,,,,,100,210,3,,,,0,0,0,,,,,,,,,,,,,,,,100,52,2,,,
74,subiupc2017.29,200,301,,,,,,,100,282,5,,,,0,0,0,,,,,,,,,,0,0,0,,,,100,19,1,,,
75,subiupc2017.8,200,302,,,,,,,0,0,0,,,,100,269,3,,,,,,,,,,,,,,,,100,33,1,,,
76,subiupc2017.53,200,315,,,,,,,100,291,3,,,,,,,,,,,,,,,,,,,,,,100,24,1,,,
77,subiupc2017.85,200,395,,,,,,,100,170,1,,,,,,,,,,,,,,,,,,,0,0,0,100,225,7,,,
78,subiupc2017.83,200,440,,,,,,,100,391,10,,,,,,,,,,,,,,,,0,0,0,,,,100,49,2,,,
79,subiupc2017.30,200,442,,,,0,0,0,100,430,10,,,,0,0,0,,,,,,,,,,,,,,,,100,12,1,,,
80,subiupc2017.91,200,472,,,,,,,100,442,10,,,,0,0,0,,,,0,0,0,,,,,,,,,,100,30,1,,,
81,subiupc2017.57,100,17,,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,,,,,100,17,1,,,
81,subiupc2017.33,100,17,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,100,17,1,,,
82,subiupc2017.54,100,18,,,,,,,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,100,18,1,,,
83,subiupc2017.99,100,20,,,,,,,0,0,0,,,,,,,,,,,,,,,,0,0,0,,,,100,20,1,,,
83,subiupc2017.35,100,20,,,,,,,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,100,20,1,,,
84,subiupc2017.41,100,29,,,,,,,0,0,0,,,,0,0,0,,,,,,,,,,0,0,0,,,,100,29,1,,,
85,subiupc2017.50,100,36,,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,100,36,1,,,
86,subiupc2017.37,100,53,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,100,53,2,,,
87,subiupc2017.76,100,58,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,100,58,2,,,
88,subiupc2017.31,100,63,,,,,,,0,0,0,,,,,,,,,,,,,,,,0,0,0,,,,100,63,2,,,
89,subiupc2017.75,100,75,,,,,,,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,100,75,2,,,
90,subiupc2017.65,100,328,,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,,,,,100,328,6,,,
91,subiupc2017.94,100,332,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,100,332,8,,,
92,subiupc2017.97,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
92,subiupc2017.74,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,subiupc2017.98,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
